id,title,description,thumbnails
papuvlVeZg8,Clean Bandit - Rockabye (feat. Sean Paul &amp; Anne-Marie) [Official Video],"Watch our new video for Mama: https://youtu.be/Ao3XJ-UDdzI Download or stream our new album ""What Is Love?"" - out now: http://atlanti.cr/WhatIsLove Click ...","{'default': {'url': 'https://i.ytimg.com/vi/papuvlVeZg8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/papuvlVeZg8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/papuvlVeZg8/hqdefault.jpg', 'width': 480, 'height': 360}}"
5GL9JoH4Sws,Fifth Harmony - Work from Home ft. Ty Dolla $ign,"""""7/27"""" available at: iTunes: http://smarturl.it/7.27 Amazon: http://smarturl.it/727_Amzn Spotify: http://smarturl.it/727_Spotify Google: http://smarturl.it/727_GP ...","{'default': {'url': 'https://i.ytimg.com/vi/5GL9JoH4Sws/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/5GL9JoH4Sws/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/5GL9JoH4Sws/hqdefault.jpg', 'width': 480, 'height': 360}}"
9jI-z9QN6g8,"Te Bote Remix - Casper, Nio García, Darell, Nicky Jam, Bad Bunny, Ozuna | Video Oficial",Flow La Movie Presenta - Te Boté Remix - Casper Nio García Darell Nicky Jam Bad Bunny Ozuna Disponible aquí - https://glad.lnk.to/TeBoteRmx ...,"{'default': {'url': 'https://i.ytimg.com/vi/9jI-z9QN6g8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/9jI-z9QN6g8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/9jI-z9QN6g8/hqdefault.jpg', 'width': 480, 'height': 360}}"
IcrbM1l_BoI,Avicii - Wake Me Up (Official Video),Listen to Avicii's latest single “SOS” here: https://Avicii.lnk.to/SOS.,"{'default': {'url': 'https://i.ytimg.com/vi/IcrbM1l_BoI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/IcrbM1l_BoI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/IcrbM1l_BoI/hqdefault.jpg', 'width': 480, 'height': 360}}"
pXRviuL6vMY,twenty one pilots: Stressed Out [OFFICIAL VIDEO],"twenty one pilots' music video for 'Stressed Out' from the album, Blurryface - available now on Fueled By Ramen. Get it on… iTunes: ...","{'default': {'url': 'https://i.ytimg.com/vi/pXRviuL6vMY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/pXRviuL6vMY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/pXRviuL6vMY/hqdefault.jpg', 'width': 480, 'height': 360}}"
lY2yjAdbvdQ,Shawn Mendes - Treat You Better,"Shawn Mendes; “Treat You Better"" Get ""Treat You Better” here now: http://smarturl.it/TreatYouBetter http://vevo.ly/OmBn2p Best of Shawn Mendes: ...","{'default': {'url': 'https://i.ytimg.com/vi/lY2yjAdbvdQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/lY2yjAdbvdQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/lY2yjAdbvdQ/hqdefault.jpg', 'width': 480, 'height': 360}}"
PIh2xe4jnpk,MAGIC! - Rude (Official Music Video),"Don't Kill the Magic”, the debut album from MAGIC!, Available Now on iTunes: http://smarturl.it/DKTMiTunes?IQid=yt Follow Magic! Website ...","{'default': {'url': 'https://i.ytimg.com/vi/PIh2xe4jnpk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/PIh2xe4jnpk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/PIh2xe4jnpk/hqdefault.jpg', 'width': 480, 'height': 360}}"
KQ6zr6kCPj8,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",Buy now http://glnk.it/6t Music video by LMFAO performing Party Rock Anthem featuring Lauren Bennett and GoonRock. (c) 2011 Interscope #VEVOCertified on ...,"{'default': {'url': 'https://i.ytimg.com/vi/KQ6zr6kCPj8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/KQ6zr6kCPj8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/KQ6zr6kCPj8/hqdefault.jpg', 'width': 480, 'height': 360}}"
FM7MFYoylVs,The Chainsmokers &amp; Coldplay - Something Just Like This (Lyric),The Chainsmokers debut album 'Memories... Do Not Open' is out now! Buy & Stream: http://smarturl.it/TCSMemories Physical CD: ...,"{'default': {'url': 'https://i.ytimg.com/vi/FM7MFYoylVs/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/FM7MFYoylVs/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/FM7MFYoylVs/hqdefault.jpg', 'width': 480, 'height': 360}}"
_I_D_8Z4sJE,Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros &amp; Jeon,Disponible en tu plataforma preferida: https://goo.gl/b8TDFS Escucha todos mis éxitos en estas playlists de Spotify: ▷Nación urbana: ...,"{'default': {'url': 'https://i.ytimg.com/vi/_I_D_8Z4sJE/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/_I_D_8Z4sJE/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/_I_D_8Z4sJE/hqdefault.jpg', 'width': 480, 'height': 360}}"
34Na4j8AVgA,The Weeknd - Starboy (official) ft. Daft Punk,Starboy ft. Daft Punk (Official Video) Taken from the new album Starboy http://theweeknd.co/StarboyYD Connect with The Weeknd: ...,"{'default': {'url': 'https://i.ytimg.com/vi/34Na4j8AVgA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/34Na4j8AVgA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/34Na4j8AVgA/hqdefault.jpg', 'width': 480, 'height': 360}}"
uxpDa-c-4Mc,Drake - Hotline Bling,Hotline Bling (Official Video) Available for download here! http://republicrec.co/DrakeHotlineBling Share/Stream “Hotline Bling” on Spotify: ...,"{'default': {'url': 'https://i.ytimg.com/vi/uxpDa-c-4Mc/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/uxpDa-c-4Mc/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/uxpDa-c-4Mc/hqdefault.jpg', 'width': 480, 'height': 360}}"
PMivT7MJ41M,Bruno Mars - That’s What I Like (Official Video),"The official audio of Bruno Mars' ""That's What I Like"" from the album '24K Magic'. Directed by Bruno Mars and Jonathan Lia Download/Stream '24K Magic': ...","{'default': {'url': 'https://i.ytimg.com/vi/PMivT7MJ41M/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/PMivT7MJ41M/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/PMivT7MJ41M/hqdefault.jpg', 'width': 480, 'height': 360}}"
zEf423kYfqk,"Becky G, Natti Natasha - Sin Pijama (Video Oficial)",Becky G & Natti Natasha – “Sin Pijama” NUEVO SENCILLO “Sin Pijama” DISPONIBLE AHORA iTunes: http://smarturl.it/SinPijamaI Apple Music: ...,"{'default': {'url': 'https://i.ytimg.com/vi/zEf423kYfqk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/zEf423kYfqk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/zEf423kYfqk/hqdefault.jpg', 'width': 480, 'height': 360}}"
uO59tfQ2TbA,"David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha &amp; Afrojack",BUY/LISTEN THE NEW DAVID GUETTA ALBUM NOW : https://davidguetta.lnk.to/Album7AY ⚠   Vote David Guetta #1 on DJ Mag TOP 100 DJ ...,"{'default': {'url': 'https://i.ytimg.com/vi/uO59tfQ2TbA/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/uO59tfQ2TbA/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/uO59tfQ2TbA/hqdefault.jpg', 'width': 480, 'height': 360}}"
weeI1G46q0o,"DJ Khaled - I&#39;m The One ft. Justin Bieber, Quavo, Chance the Rapper, Lil Wayne","""Grateful"" Available at iTunes http://smarturl.it/GRATEFUL_iTunes Apple Music http://smarturl.it/GRATEFUL_AM Spotify http://smarturl.it/GRATEFUL_Sptfy ...","{'default': {'url': 'https://i.ytimg.com/vi/weeI1G46q0o/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/weeI1G46q0o/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/weeI1G46q0o/hqdefault.jpg', 'width': 480, 'height': 360}}"
ASO_zypdnsQ,PSY - GENTLEMAN M/V,PSY - 'I LUV IT' M/V @ https://youtu.be/Xvjnoagk6GU PSY - 'New Face' M/V @https://youtu.be/OwJPPaEyqhI PSY - 8TH ALBUM '4X2=8' on iTunes ...,"{'default': {'url': 'https://i.ytimg.com/vi/ASO_zypdnsQ/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ASO_zypdnsQ/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ASO_zypdnsQ/hqdefault.jpg', 'width': 480, 'height': 360}}"
UprcpdwuwCg,twenty one pilots: Heathens (from Suicide Squad: The Album) [OFFICIAL VIDEO],twenty one pilots' music video for 'Heathens' from Suicide Squad: The Album available now on Atlantic Records. Get it on iTunes: http://smarturl.it/SuicideSquad ...,"{'default': {'url': 'https://i.ytimg.com/vi/UprcpdwuwCg/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/UprcpdwuwCg/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/UprcpdwuwCg/hqdefault.jpg', 'width': 480, 'height': 360}}"
KlyXNRrsk4A,Katy Perry - Last Friday Night (T.G.I.F.),You're invited to the party of the year! Find out what happened to Kathy Beth Terry in the official music video for Katy Perry's “Last Friday Night (T.G.I.F.)” featuring ...,"{'default': {'url': 'https://i.ytimg.com/vi/KlyXNRrsk4A/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/KlyXNRrsk4A/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/KlyXNRrsk4A/hqdefault.jpg', 'width': 480, 'height': 360}}"
nCkpzqqog4k,Sam Smith - I&#39;m Not The Only One,Listen to Dancing With A Stranger now: http://samsmith.world/DWASYTUGCID Listen to Sam Smith's Complete Collection here: http://samsmith.world/UuuYAID ...,"{'default': {'url': 'https://i.ytimg.com/vi/nCkpzqqog4k/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/nCkpzqqog4k/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/nCkpzqqog4k/hqdefault.jpg', 'width': 480, 'height': 360}}"
UqyT8IEBkvY,Bruno Mars - 24K Magic (Official Video),"The official video of Bruno Mars' ""24K Magic"" from the album '24K Magic'. Download/Stream '24K Magic': https://Atlantic.lnk.to/24K_MagicID See Bruno Mars on ...","{'default': {'url': 'https://i.ytimg.com/vi/UqyT8IEBkvY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/UqyT8IEBkvY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/UqyT8IEBkvY/hqdefault.jpg', 'width': 480, 'height': 360}}"
foE1mO2yM04,Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Explicit),"Be As You Are (Remix) official video: https://MikePosner.lnk.to/BAYAVideoYD Mike Posner At Night, Alone. Available now: ...","{'default': {'url': 'https://i.ytimg.com/vi/foE1mO2yM04/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/foE1mO2yM04/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/foE1mO2yM04/hqdefault.jpg', 'width': 480, 'height': 360}}"
